dossier,fichier,Ra_bleu,Rq_bleu,K_bleu,Ra_orange,Rq_orange,K_orange,L2,L2_norm_stable,dRa,dRq,dK,periode_um,largeur_sillon_um,profondeur_um
PMMA-XV,ImX0Y1.xyz,5.5253533841574605,6.411087272210273,1.5986600992701154,4.606296572127476,6.533918330780275,1.9998559948158134,74.6229896323902,0.273058536173026,0.19952184963320915,0.018798988960630838,0.401195895545698,142.85714285714286,71.0,9.268202358405384
PMMA-XV,ImX1Y0.xyz,5.409311080165242,6.316761832413585,1.6209295550950407,4.581834232119721,6.499219103475285,1.999855994815814,80.31696122236399,0.28907974207229464,0.18059947307668095,0.028073722112882196,0.37892643972077344,142.85714285714286,71.0,9.21898235838978
PMMA-XV,ImX1Y1.xyz,5.426026228006285,6.355637622266832,1.6377940377216065,4.5487733560939665,6.4523230644309395,1.9998559948158128,79.14895912360835,0.28986690422218603,0.19285482112162566,0.01498459410643832,0.3620619570942063,142.85714285714286,71.0,9.152461481074381
PMMA-XVI,ImX0Y0.xyz,9.165265426563955,10.997520196174111,1.6515119377777925,8.20533497826782,11.639065740818081,1.9998559948158137,137.02214256216737,0.2741911237414544,0.11698857521826385,0.055120020706995086,0.3483440570380212,142.85714285714286,71.0,16.509728326494603
PMMA-XVI,ImX0Y1.xyz,9.370106284882192,11.258773488406272,1.6451016889912329,8.720022495681555,12.369137318276284,1.9998559948158134,142.8693185543966,0.2643474859798458,0.074550700932547,0.089768898290859,0.35475430582458056,142.85714285714286,71.0,17.545316892719427
PMMA-XVI,ImX1Y0.xyz,8.804004314853612,10.758909565514188,1.673196133698079,8.127405998712195,11.52852540107997,1.9998559948158132,112.42410679037204,0.22804388961836497,0.08324898697673351,0.06675752611810057,0.32665986111773426,142.85714285714286,71.0,16.352929574873635
PMMA-XVI,ImX1Y1.xyz,9.370512957376398,11.261889008612656,1.6856734974208014,8.451395878372393,11.988097072280752,1.9998559948158132,118.63382431533702,0.22445556267982306,0.10875328670333363,0.060577426032631734,0.3141824973950118,142.85714285714286,71.0,17.004820680829766
PMMA-XVI,ImX2Y0.xyz,9.368427691823465,11.187937421116887,1.6479488653464254,8.4223895004578,11.946952239029565,1.9998559948158132,126.40749719857818,0.24441969125534693,0.11232420340026335,0.06353208774310228,0.35190712946938785,142.85714285714286,71.0,16.946457747400004
PMMA-XVI,ImX2Y1.xyz,9.008012303006428,10.897566069036676,1.653410365217732,8.44516186191589,11.979254273350698,1.999855994815813,124.16252983900348,0.24071926756011702,0.06664767949904608,0.09029678973593272,0.3464456295980809,142.85714285714286,71.0,16.99227738816075
PMMA-XVII,ImX0Y0.xyz,0.8298061245248728,0.9022582585707575,0.2338345049426307,0.7323846589134684,1.0399163356272612,1.9997439836149515,23.753012394989923,0.8680655943647837,0.1330195334183192,0.13237418467272224,1.7659094786723208,43.47826086956522,21.0,1.4765819736158636
PMMA-XVII,ImX0Y1.xyz,0.9933545890919979,1.0764192676680746,0.08259252068997824,0.8587207822684964,1.2144145765757413,2.0000000000000004,23.453238913677826,0.6173647368306904,0.15678414870528382,0.11363113682048272,1.9174074793100222,1000.0,500.0,1.7174415645369927
PMMA-XVII,ImX1Y0.xyz,0.8032845590528437,0.8709809784651968,0.05800608347049918,0.6984820984729995,0.9917779345936594,1.9997439836149513,24.351882881379428,0.8481033367127777,0.15004315902864254,0.1217983904612217,1.9417379001444521,43.47826086956522,21.0,1.4082300372439507
PMMA-XVII,ImX1Y1.xyz,0.8786973384519103,0.9444820813469965,0.5516758866670384,0.6978145002474606,0.9908300088118663,1.9997439836149509,23.80957432337483,0.7487006402465629,0.2592133556128522,0.046776870959375765,1.4480680969479125,43.47826086956522,21.0,1.4068840730795575
PMMA-XVIII,ImX0Y0.xyz,3.12211249148076,3.578128252963827,1.0887910477205596,2.9448914567797924,4.198428299665015,1.9989757377888737,73.93870953911582,0.4120617289974774,0.060179139809369085,0.14774577590158694,0.9101846900683142,83.33333333333333,41.0,5.985551741422343
PMMA-XVIII,ImX0Y1.xyz,2.871629675694707,3.379583539375551,1.1706233778122208,2.8576730080857615,4.074084021234353,1.9989757377888735,76.55346800315073,0.4293388938516652,0.004883927436573409,0.17046788388237127,0.8283523599766527,83.33333333333333,41.0,5.808278471719026
PMMA-XVIII,ImX0Y2.xyz,2.958899659197491,3.453897388869931,1.1129752527493286,2.920663786784242,4.163887761639382,1.9989757377888744,76.22110745430231,0.4288795536670122,0.013091500838358425,0.17051140986805022,0.8860004850395458,83.33333333333333,41.0,5.936308509724069
